,Unnamed: 0,Unnamed: 0.1,Index,Wind Speed (m/s),Wind Direction (°),LV ActivePower (kW)
0,0,0,1,4.70943215116687,99.79486538358937,343.8225510946282
1,1,1,2,5.340019227016875,95.355077191819,513.8446352371127
2,2,2,3,4.817699024164374,97.34127952049023,387.7423501157634
3,3,3,4,5.3227588734656965,71.98745174087423,449.44101797766024
4,4,4,5,5.2405572565078895,82.42768604632259,502.15318640024947
5,5,5,6,5.27890554888083,77.0575286386372,422.4074335721684
6,6,6,7,5.477101091504529,85.58356549103055,490.9766078088506
7,7,7,8,4.996549419758604,72.74111419618147,368.30436708123534
8,8,8,9,5.2744941550782585,71.87319367839666,413.0860044516192
9,9,9,10,5.2144246416944435,79.46444101221371,458.38350049397286
10,10,10,11,5.425629572052783,70.36745289591698,462.01886410988783
11,11,11,12,5.649689126408129,72.01056284462095,520.8044862056533
12,12,12,13,6.284359735273229,66.8758490433361,681.2389418165039
13,13,13,14,5.919314146930232,64.26443536624838,549.1333596600065
14,14,14,15,6.24812226271974,58.80654449404196,692.9992910018733
15,15,15,16,6.349292976408773,56.30141061801626,732.5038023669046
16,16,16,17,6.147996333248298,53.8287592167539,671.9058578614355
17,17,17,18,6.173839655349762,57.48864590526348,659.4894939540499
18,18,18,19,6.213642333538189,67.06600678943464,699.8728503150134
19,19,19,20,6.172042719043026,66.82841512723218,613.0592365415984
20,20,20,21,6.00207411410624,68.79827569189302,613.9427776116418
21,21,21,22,6.628484084514843,69.61957317185312,836.7502885770549
22,22,22,23,7.455347774540143,73.44466149812027,1104.1418301209044
23,23,23,24,6.989517279446683,76.2064498092456,920.4619386454129
24,24,24,25,7.8112062796261785,76.00107756422435,1214.6709358171322
25,25,25,26,8.074157009847756,76.0434259799216,1310.026797149927
26,26,26,27,8.122262126117441,74.62750189182762,1333.8144314180367
27,27,27,28,7.5569178217485184,76.18280785639924,1067.0602192215213
28,28,28,29,7.0093673054613435,78.01923991004116,892.195296208252
29,29,29,30,6.606792862340933,77.11360285668863,808.1179181849557
30,30,30,31,7.034559829066963,75.87236898746018,936.117668914435
31,31,31,32,6.572785190885908,86.32257074031084,894.1621149405363
32,32,32,33,7.2209888902915855,86.50288250030843,1079.5085063130457
33,33,33,34,6.8734406211233,82.0768325321313,942.9767127930771
34,34,34,35,7.391336295002545,87.16432330169854,1114.1980793476444
35,35,35,36,6.976909074274661,92.51248282197031,1029.4285153597134
36,36,36,37,7.3078842283206225,95.94520219021405,1124.8820229056735
37,37,37,38,6.795012904668036,93.26875007368885,894.2919439087195
38,38,38,39,7.273645557172991,92.06023958402115,1089.7275299459218
39,39,39,40,6.863477833471258,94.7552361285899,945.0762128167399
40,40,40,41,7.244150896230355,99.64848211360771,1097.640021685097
41,41,41,42,6.185953276353081,98.024152771569,712.4914817582847
42,42,42,43,7.181897981704048,99.84563914983393,966.9755885065624
43,43,43,44,6.424908581169097,98.14704606434269,833.0181398898973
44,44,44,45,7.42424454447004,90.83535040322214,1075.019899793361
45,45,45,46,6.112722233585035,88.2471526335471,783.0601714698347
46,46,46,47,6.8030728298898415,84.98458479520164,861.4366928404371
47,47,47,48,5.714937142493107,79.50843488055696,576.4489755485819
48,48,48,49,5.017708819696297,79.50156219871123,406.2343007013923
49,49,49,50,5.129713946350026,78.79263375131195,418.06137279791596
50,50,50,51,5.385228843471436,79.49032735616619,470.76715948779355
51,51,51,52,5.4093487837628045,80.72087183238372,502.6445255561668
52,52,52,53,5.627464612673008,81.75243661527594,589.4949855638647
53,53,53,54,5.606105921506443,80.05651914080447,588.1425334540633
54,54,54,55,5.7572706525159445,81.7499055239901,619.0820864151793
55,55,55,56,4.9453568501829235,80.93819839762672,403.29964076646615
56,56,56,57,5.298977709692814,79.96973784018839,486.64935184451923
57,57,57,58,5.513964920719348,79.88408027675891,567.4518784567596
58,58,58,59,5.560539509884906,80.35272413384068,585.8304272052425
59,59,59,60,5.638471414146834,80.8245520977988,590.3266003307525
60,60,60,61,6.063066751564463,80.69842483095665,677.2145219710952
61,61,61,62,5.6809564848384175,81.0207539409202,602.2354272862498
62,62,62,63,5.5047201309032365,81.60285341903496,555.6643783956084
63,63,63,64,5.436722831776008,83.0170281350959,534.2245087868525
64,64,64,65,4.875475772103968,82.6427081733608,362.33513188507163
65,65,65,66,4.359818885784358,82.83715445718813,249.5072281951459
66,66,66,67,3.950265450441152,82.73042693538687,176.82581827207807
67,67,67,68,4.0557857899778345,81.15145364179509,180.54980525022393
68,68,68,69,3.5306605364618813,81.18064896437913,84.33659176413809
69,69,69,70,3.758078657156171,84.71323409125658,117.56666309145129
70,70,70,71,3.640074755865839,85.36485334674465,101.01402058462865
71,71,71,72,4.051717472202561,84.94162705500983,174.0547156250525
